order_date,order_count,total_expected_revenue,total_cash_collected,total_refunds,net_collected_revenue
2026-02-02,6,10817.285499999998,10817.289999999999,0.0,10817.289999999999
2026-02-03,10,24476.608500000002,23672.559999999998,0.0,23672.559999999998
2026-02-04,5,16465.145,16465.15,249.35,16215.8
2026-02-05,6,12256.5985,12256.61,258.89,11997.72
2026-02-06,8,18357.4395,18337.43,0.0,18337.43
2026-02-07,7,19596.445,19596.45,0.0,19596.45
2026-02-08,6,24094.7345,21495.76,0.0,21495.76
2026-02-09,6,15388.238,15388.24,80.69,15307.550000000001
2026-02-10,9,29665.343,29665.35,0.0,29665.35
2026-02-11,7,15444.281500000001,14514.41,0.0,14514.41
2026-02-12,6,16101.053,16081.05,1555.32,14525.73
2026-02-13,5,14620.451500000001,14620.44,0.0,14620.44
2026-02-14,11,40305.301,40016.37,0.0,40016.37
2026-02-15,7,13993.8915,13988.89,775.4,13213.49
2026-02-16,11,29465.929,28435.29,925.63,27509.66
2026-02-17,5,10475.918000000001,10475.92,0.0,10475.92
2026-02-18,6,11954.71,11733.539999999999,339.01,11394.53
2026-02-19,8,22827.155,22827.15,942.05,21885.1
2026-02-20,10,25417.711499999998,25417.72,13.68,25404.04
2026-02-21,4,5748.316,5748.3099999999995,0.0,5748.3099999999995
2026-02-22,11,21193.754,21183.75,472.18,20711.57
2026-02-23,10,19010.4435,19000.43,107.58,18892.85
2026-02-24,6,19228.4305,19228.43,1119.4,18109.03
2026-02-25,7,25614.767999999996,25609.77,0.0,25609.77
2026-02-26,7,8715.253,8715.26,0.0,8715.26
2026-02-27,3,6249.373,6249.379999999999,0.0,6249.379999999999
2026-02-28,6,18824.1725,18824.18,0.0,18824.18
2026-03-01,8,30835.746,30835.74,0.0,30835.74
2026-03-02,4,10662.467,8899.59,524.78,8374.810000000001
2026-03-03,6,17441.106,17441.11,0.0,17441.11
2026-03-04,3,5460.1665,5460.16,0.0,5460.16
2026-03-05,4,12903.783,12903.779999999999,0.0,12903.779999999999
2026-03-06,9,26684.6925,26674.690000000002,0.0,26674.690000000002
2026-03-07,7,16861.498,15857.64,0.0,15857.64
2026-03-08,11,38453.992,37321.46,0.0,37321.46
2026-03-09,9,24873.475,24853.48,2531.14,22322.34
2026-03-10,10,22426.1085,22426.11,983.05,21443.059999999998
2026-03-11,4,15192.606,15192.61,583.61,14609.0
2026-03-12,4,4636.5595,4636.5599999999995,0.0,4636.5599999999995
2026-03-13,7,14217.136999999999,14207.13,0.0,14207.13
2026-03-14,6,12092.9935,12092.99,0.0,12092.99
2026-03-15,4,6763.8135,6417.88,0.0,6417.88
2026-03-16,7,17450.289,17450.28,0.0,17450.28
2026-03-17,7,10155.2965,10155.3,0.0,10155.3
2026-03-18,6,14711.0,14691.01,2045.42,12645.59
2026-03-19,6,14286.26,14286.26,0.0,14286.26
2026-03-20,2,5078.08,5078.08,0.0,5078.08
2026-03-21,4,5581.657999999999,5581.66,0.0,5581.66
2026-03-22,3,9200.7455,9200.74,0.0,9200.74
2026-03-23,7,25170.043999999998,25170.04,0.0,25170.04
2026-03-24,3,5672.297,5672.3,443.91,5228.39
2026-03-25,6,19515.7335,19515.73,479.08,19036.65
2026-03-26,5,7414.098999999999,7414.1,0.0,7414.1
2026-03-27,10,21601.5825,20244.78,546.31,19698.47
2026-03-28,8,26984.1425,26979.15,0.0,26979.15
2026-03-29,3,2450.4610000000002,2450.46,0.0,2450.46
2026-03-30,4,4314.69,4314.69,87.96,4226.73
2026-03-31,4,8449.358499999998,8741.24,0.0,8741.24
2026-04-01,3,4962.033,4962.03,0.0,4962.03
2026-04-02,4,14367.6805,14367.68,239.26,14128.42
2026-04-03,7,20155.6655,17698.850000000002,0.0,17698.850000000002
2026-04-04,7,25521.2645,25501.26,0.0,25501.26
2026-04-05,7,17791.819499999998,17791.81,467.6,17324.21
2026-04-06,11,30856.019500000002,30856.01,3175.09,27680.92
2026-04-07,3,5812.6535,5761.540000000001,0.0,5761.540000000001
2026-04-08,9,25094.392,24001.43,26.62,23974.81
2026-04-09,8,21632.0395,20603.75,0.0,20603.75
2026-04-10,7,19234.4785,19234.47,241.82,18992.65
2026-04-11,11,26709.753,25956.61,0.0,25956.61
2026-04-12,7,14217.564,14197.56,144.58,14052.98
2026-04-13,7,17832.4885,17832.489999999998,0.0,17832.489999999998
2026-04-14,7,15593.2785,15593.29,649.86,14943.43
2026-04-15,11,22573.252500000002,20735.41,0.0,20735.41
2026-04-16,4,11751.233,11751.23,0.0,11751.23
2026-04-17,8,12242.6155,12242.61,0.0,12242.61
2026-04-18,5,16889.7885,16889.8,0.0,16889.8
2026-04-19,11,23951.583000000002,23951.59,1108.33,22843.260000000002
2026-04-20,3,8913.9195,8913.92,2144.48,6769.44
2026-04-21,9,30516.9165,30516.91,392.46,30124.449999999997
2026-04-22,5,10270.142499999998,10270.150000000001,1400.92,8869.23
2026-04-23,6,9587.05,9587.04,0.0,9587.04
2026-04-24,6,19725.5165,19725.51,0.0,19725.51
2026-04-25,6,19445.743000000002,19435.75,957.3800000000001,18478.37
2026-04-26,5,13063.118,13063.12,0.0,13063.12
2026-04-27,6,7909.0425,7882.21,980.75,6901.46
2026-04-28,7,14733.4555,14733.45,0.0,14733.45
2026-04-29,4,13295.0925,13295.09,0.0,13295.09
2026-04-30,7,23132.4195,23132.42,0.0,23132.42
