ledger_id,card_id,order_id,event_datetime,event_type,points_delta
L000419,C70066,,2026-03-04 00:00:00,adjustment,-10
L000420,C70143,,2026-03-05 00:00:00,correction,25
L000421,C70090,,2026-03-06 00:00:00,correction,25
L000422,C70085,,2026-03-07 00:00:00,adjustment,10
L000423,C70036,,2026-03-08 00:00:00,correction,10
L000424,C70077,,2026-03-09 00:00:00,adjustment,25
L000425,C70103,,2026-03-10 00:00:00,correction,25
L000426,C70109,,2026-03-11 00:00:00,adjustment,10
L000427,C70048,,2026-03-12 00:00:00,correction,-20
L000428,C70144,,2026-03-13 00:00:00,correction,-10
L000429,C70051,,2026-03-14 00:00:00,adjustment,-10
L000430,C70031,,2026-03-15 00:00:00,adjustment,-20
L000431,C999999,500001.0,2026-03-15 10:00:00,earn,99
