ledger_id,card_id,order_id,event_datetime,event_type,points_delta,ledger_source,customer_id,card_status,is_valid_card
L000093,C70164,500821.0,2026-04-05 02:00:00,earn,120.0,raw,10246.0,active,True
L000094,C70110,500743.0,2026-02-02 02:00:00,earn,120.0,raw,10168.0,active,True
L000095,C70165,500845.0,2026-04-15 02:00:00,earn,120.0,raw,10247.0,active,True
L000096,C70167,501107.0,2026-04-05 02:00:00,earn,120.0,raw,10249.0,active,True
L000097,C70125,500892.0,2026-02-10 02:00:00,earn,120.0,raw,10190.0,active,True
L000098,C70022,500917.0,2026-04-25 02:00:00,earn,120.0,raw,10033.0,active,True
L000099,C70089,500254.0,2026-02-13 02:00:00,earn,120.0,raw,10140.0,active,True
L000100,C70010,500739.0,2026-04-06 02:00:00,earn,120.0,raw,10014.0,active,True
L000101,C70126,500720.0,2026-01-16 02:00:00,earn,120.0,raw,10192.0,active,True
L000102,C70100,500081.0,2026-01-02 02:00:00,earn,120.0,raw,10155.0,active,True
L000103,C70134,500934.0,2026-04-06 02:00:00,earn,20.0,raw,10200.0,active,True
L000104,C70155,500161.0,2026-02-04 02:00:00,earn,120.0,raw,10232.0,active,True
L000105,C70146,500776.0,2026-04-15 02:00:00,earn,120.0,raw,10220.0,active,True
L000106,C70095,500633.0,2026-04-15 02:00:00,earn,120.0,raw,10149.0,active,True
L000107,C70120,500489.0,2026-01-19 02:00:00,earn,120.0,raw,10183.0,active,True
L000108,C70026,500190.0,2026-03-08 02:00:00,earn,120.0,raw,10043.0,active,True
L000109,C70037,500524.0,2026-03-23 02:00:00,earn,120.0,raw,10061.0,active,True
L000110,C70082,500384.0,2026-01-21 02:00:00,earn,50.0,raw,10128.0,active,True
L000111,C70032,500068.0,2026-01-10 02:00:00,earn,120.0,raw,10052.0,active,True
L000112,C70020,500029.0,2026-02-15 02:00:00,earn,120.0,raw,10031.0,active,True
L000113,C70079,500070.0,2026-03-23 02:00:00,earn,120.0,raw,10124.0,active,True
L000114,C70143,500879.0,2026-04-17 02:00:00,earn,120.0,raw,10216.0,active,True
L000115,C70042,501078.0,2026-01-15 02:00:00,earn,120.0,raw,10068.0,active,True
L000116,C70134,500753.0,2026-04-27 02:00:00,earn,120.0,raw,10200.0,active,True
L000117,C70139,500042.0,2026-04-04 02:00:00,earn,120.0,raw,10207.0,active,True
L000118,C70043,500521.0,2026-02-28 02:00:00,earn,120.0,raw,10069.0,active,True
L000119,C70167,500995.0,2026-04-04 02:00:00,earn,20.0,raw,10249.0,active,True
L000120,C70014,500444.0,2026-02-03 02:00:00,earn,120.0,raw,10020.0,active,True
L000121,C70154,500072.0,2026-04-28 02:00:00,earn,8.0,raw,10231.0,active,True
L000122,C70058,501185.0,2026-01-21 02:00:00,earn,50.0,raw,10088.0,active,True
L000123,C70017,500853.0,2026-04-08 02:00:00,earn,20.0,raw,10025.0,active,True
L000124,C70165,500809.0,2026-01-26 02:00:00,earn,50.0,raw,10247.0,active,True
L000125,C70070,500702.0,2026-04-21 02:00:00,earn,120.0,raw,10112.0,active,True
L000126,C70123,500365.0,2026-03-10 02:00:00,earn,120.0,raw,10186.0,active,True
L000127,C70050,500279.0,2026-03-26 02:00:00,earn,20.0,raw,10078.0,active,True
L000128,C70146,500497.0,2026-02-01 02:00:00,earn,120.0,raw,10220.0,active,True
L000129,C70119,500570.0,2026-01-15 02:00:00,earn,120.0,raw,10182.0,active,True
L000130,C70115,500631.0,2026-04-15 02:00:00,earn,120.0,raw,10176.0,active,True
L000131,C70081,501182.0,2026-02-21 02:00:00,earn,120.0,raw,10126.0,active,True
L000132,C70118,501019.0,2026-01-20 02:00:00,earn,120.0,raw,10181.0,active,True
L000133,C70156,500135.0,2026-02-17 02:00:00,earn,120.0,raw,10233.0,active,True
L000134,C70125,501166.0,2026-04-29 02:00:00,earn,120.0,raw,10190.0,active,True
L000135,C70034,500456.0,2026-01-16 02:00:00,earn,120.0,raw,10055.0,active,True
L000136,C70074,500480.0,2026-03-06 02:00:00,earn,8.0,raw,10117.0,active,True
L000137,C70113,500006.0,2026-02-14 02:00:00,earn,50.0,raw,10173.0,active,True
L000138,C70115,501155.0,2026-02-08 02:00:00,earn,120.0,raw,10176.0,active,True
L000139,C70167,500667.0,2026-01-21 02:00:00,earn,120.0,raw,10249.0,active,True
L000140,C70065,500482.0,2026-04-15 02:00:00,earn,120.0,raw,10100.0,active,True
L000141,C70069,500613.0,2026-03-24 02:00:00,earn,120.0,raw,10107.0,active,True
L000142,C70059,500970.0,2026-01-27 02:00:00,earn,120.0,raw,10091.0,active,True
L000143,C70047,500516.0,2026-01-22 02:00:00,earn,120.0,raw,10075.0,active,True
L000144,C70087,500824.0,2026-04-17 02:00:00,earn,120.0,raw,10137.0,active,True
L000145,C70097,500474.0,2026-01-27 02:00:00,earn,120.0,raw,10152.0,active,True
L000146,C70012,500271.0,2026-04-09 02:00:00,earn,120.0,raw,10017.0,active,True
L000147,C70009,500837.0,2026-02-15 02:00:00,earn,120.0,raw,10013.0,active,True
L000148,C70095,500093.0,2026-04-17 02:00:00,earn,3.0,raw,10149.0,active,True
L000149,C70124,500007.0,2026-01-01 02:00:00,earn,20.0,raw,10188.0,active,True
L000150,C70062,500057.0,2026-02-10 02:00:00,earn,120.0,raw,10097.0,active,True
L000151,C70079,500280.0,2026-01-08 02:00:00,earn,120.0,raw,10124.0,active,True
L000152,C70110,501089.0,2026-02-05 02:00:00,earn,120.0,raw,10168.0,active,True
L000153,C70142,500918.0,2026-01-29 02:00:00,earn,120.0,raw,10212.0,active,True
L000154,C70065,500567.0,2026-03-09 02:00:00,earn,120.0,raw,10100.0,active,True
L000155,C70041,501119.0,2026-01-07 02:00:00,earn,120.0,raw,10067.0,active,True
L000156,C70098,501134.0,2026-02-05 02:00:00,earn,120.0,raw,10153.0,active,True
L000157,C70024,500711.0,2026-01-25 02:00:00,earn,120.0,raw,10038.0,active,True
L000158,C70105,500618.0,2026-04-11 02:00:00,earn,50.0,raw,10161.0,active,True
L000159,C70124,500120.0,2026-01-30 02:00:00,earn,50.0,raw,10188.0,active,True
L000160,C70151,500955.0,2026-04-02 02:00:00,earn,120.0,raw,10228.0,active,True
L000161,C70062,500851.0,2026-02-07 02:00:00,earn,120.0,raw,10097.0,active,True
L000162,C70146,500228.0,2026-04-06 02:00:00,earn,120.0,raw,10220.0,active,True
L000163,C70106,500855.0,2026-04-06 02:00:00,earn,120.0,raw,10162.0,active,True
L000164,C70059,500255.0,2026-01-11 02:00:00,earn,120.0,raw,10091.0,active,True
L000165,C70131,500768.0,2026-03-13 02:00:00,earn,120.0,raw,10197.0,active,True
L000166,C70016,500905.0,2026-03-30 02:00:00,earn,120.0,raw,10023.0,active,True
L000167,C70065,500555.0,2026-02-13 02:00:00,earn,120.0,raw,10100.0,active,True
L000168,C70066,500991.0,2026-03-08 02:00:00,earn,120.0,raw,10102.0,active,True
L000169,C70139,500337.0,2026-02-22 02:00:00,earn,120.0,raw,10207.0,active,True
L000170,C70095,500551.0,2026-01-08 02:00:00,earn,120.0,raw,10149.0,active,True
L000171,C70028,500502.0,2026-03-13 02:00:00,earn,120.0,raw,10045.0,active,True
L000172,C70122,500904.0,2026-04-11 02:00:00,earn,20.0,raw,10185.0,active,True
L000173,C70032,500130.0,2026-02-10 02:00:00,earn,120.0,raw,10052.0,active,True
L000174,C70050,500015.0,2026-04-27 02:00:00,earn,20.0,raw,10078.0,active,True
L000175,C70092,500630.0,2026-04-18 02:00:00,earn,120.0,raw,10143.0,active,True
L000176,C70094,500493.0,2026-01-31 02:00:00,earn,120.0,raw,10146.0,active,True
L000177,C70100,500740.0,2026-04-06 02:00:00,earn,8.0,raw,10155.0,active,True
L000178,C70037,501137.0,2026-03-10 02:00:00,earn,120.0,raw,10061.0,active,True
L000179,C70007,501025.0,2026-02-10 02:00:00,earn,20.0,raw,10009.0,active,True
L000180,C70117,500761.0,2026-02-01 02:00:00,earn,120.0,raw,10180.0,active,True
L000181,C70097,500583.0,2026-03-28 02:00:00,earn,120.0,raw,10152.0,active,True
L000182,C70162,500338.0,2026-03-19 02:00:00,earn,120.0,raw,10243.0,active,True
L000183,C70031,501192.0,2026-02-20 02:00:00,earn,120.0,raw,10051.0,active,True
L000184,C70093,500411.0,2026-01-01 02:00:00,earn,120.0,raw,10144.0,active,True
L000185,C70032,501029.0,2026-01-17 02:00:00,earn,50.0,raw,10052.0,active,True
L000186,C70153,500431.0,2026-01-04 02:00:00,earn,50.0,raw,10230.0,active,True
L000187,C70105,501073.0,2026-02-15 02:00:00,earn,20.0,raw,10161.0,active,True
L000188,C70153,500095.0,2026-02-24 02:00:00,earn,120.0,raw,10230.0,active,True
L000189,C70094,500017.0,2026-01-12 02:00:00,earn,120.0,raw,10146.0,active,True
L000190,C70105,500806.0,2026-03-12 02:00:00,earn,50.0,raw,10161.0,active,True
L000191,C70040,501026.0,2026-04-15 02:00:00,earn,50.0,raw,10064.0,active,True
L000192,C70108,500649.0,2026-04-07 02:00:00,earn,120.0,raw,10165.0,active,True
L000193,C70130,500664.0,2026-03-11 02:00:00,earn,120.0,raw,10196.0,active,True
L000194,C70088,500595.0,2026-03-26 02:00:00,earn,120.0,raw,10138.0,active,True
L000195,C70069,500803.0,2026-02-28 02:00:00,earn,50.0,raw,10107.0,active,True
L000196,C70074,500126.0,2026-03-08 02:00:00,earn,120.0,raw,10117.0,active,True
L000197,C70059,501125.0,2026-01-03 02:00:00,earn,120.0,raw,10091.0,active,True
L000198,C70116,500617.0,2026-01-17 02:00:00,earn,120.0,raw,10178.0,active,True
L000199,C70028,501086.0,2026-02-09 02:00:00,earn,120.0,raw,10045.0,active,True
L000200,C70069,500609.0,2026-03-14 02:00:00,earn,120.0,raw,10107.0,active,True
L000201,C70017,500986.0,2026-02-01 02:00:00,earn,20.0,raw,10025.0,active,True
L000202,C70046,500049.0,2026-01-28 02:00:00,earn,120.0,raw,10073.0,active,True
L000203,C70141,500624.0,2026-04-09 02:00:00,earn,50.0,raw,10210.0,active,True
L000204,C70058,500340.0,2026-03-23 02:00:00,earn,120.0,raw,10088.0,active,True
L000205,C70160,500119.0,2026-04-12 02:00:00,earn,50.0,raw,10241.0,active,True
L000206,C70057,500396.0,2026-02-04 02:00:00,earn,120.0,raw,10086.0,active,True
L000207,C70087,501077.0,2026-03-09 02:00:00,earn,50.0,raw,10137.0,active,True
L000208,C70115,501057.0,2026-03-19 02:00:00,earn,50.0,raw,10176.0,active,True
L000209,C70058,500708.0,2026-01-24 02:00:00,earn,120.0,raw,10088.0,active,True
L000210,C70110,500272.0,2026-03-23 02:00:00,earn,50.0,raw,10168.0,active,True
L000211,C70086,501142.0,2026-01-30 02:00:00,earn,120.0,raw,10136.0,active,True
L000212,C70095,500295.0,2026-02-16 02:00:00,earn,50.0,raw,10149.0,active,True
L000213,C70044,500568.0,2026-04-10 02:00:00,earn,8.0,raw,10070.0,active,True
L000214,C70098,500276.0,2026-01-19 02:00:00,earn,120.0,raw,10153.0,active,True
L000215,C70145,500619.0,2026-04-28 02:00:00,earn,120.0,raw,10219.0,active,True
L000216,C70087,500046.0,2026-04-11 02:00:00,earn,120.0,raw,10137.0,active,True
L000217,C70072,500964.0,2026-02-24 02:00:00,earn,50.0,raw,10115.0,active,True
L000218,C70058,500176.0,2026-02-25 02:00:00,earn,50.0,raw,10088.0,active,True
L000219,C70151,500487.0,2026-01-19 02:00:00,earn,120.0,raw,10228.0,active,True
L000220,C70093,500263.0,2026-04-09 02:00:00,earn,120.0,raw,10144.0,active,True
L000221,C70103,500582.0,2026-02-27 02:00:00,earn,120.0,raw,10158.0,active,True
L000222,C70148,500230.0,2026-01-22 02:00:00,earn,120.0,raw,10223.0,active,True
L000223,C70027,500341.0,2026-04-02 02:00:00,earn,3.0,raw,10044.0,active,True
L000224,C70147,501038.0,2026-01-11 02:00:00,earn,120.0,raw,10222.0,active,True
L000225,C70115,500906.0,2026-01-18 02:00:00,earn,120.0,raw,10176.0,active,True
L000226,C70161,500158.0,2026-03-01 02:00:00,earn,120.0,raw,10242.0,active,True
L000227,C70019,500155.0,2026-01-19 02:00:00,earn,120.0,raw,10029.0,active,True
L000228,C70164,500094.0,2026-03-06 02:00:00,earn,120.0,raw,10246.0,active,True
L000229,C70091,501153.0,2026-04-28 02:00:00,earn,120.0,raw,10142.0,active,True
L000230,C70095,500436.0,2026-01-01 00:00:00,earn,120.0,raw,10149.0,active,True
L000231,C70156,501035.0,2026-04-03 02:00:00,earn,120.0,raw,10233.0,active,True
L000232,C70163,500834.0,2026-02-16 02:00:00,earn,120.0,raw,10245.0,active,True
L000233,C70097,500673.0,2026-04-10 02:00:00,earn,20.0,raw,10152.0,active,True
L000234,C70055,500577.0,2026-02-25 02:00:00,earn,120.0,raw,10084.0,active,True
L000235,C70051,500055.0,2026-04-25 02:00:00,earn,120.0,raw,10080.0,active,True
L000236,C70114,500305.0,2026-02-25 02:00:00,earn,120.0,raw,10175.0,active,True
L000237,C70133,501112.0,2026-03-01 02:00:00,earn,3.0,raw,10199.0,active,True
L000238,C70080,500919.0,2026-02-28 02:00:00,earn,8.0,raw,10125.0,active,True
L000239,C70081,500559.0,2026-01-11 02:00:00,earn,50.0,raw,10126.0,active,True
L000240,C70068,500145.0,2026-01-28 02:00:00,earn,120.0,raw,10105.0,active,True
L000241,C70006,500221.0,2026-01-29 02:00:00,earn,120.0,raw,10008.0,active,True
L000242,C70092,500945.0,2026-04-24 02:00:00,earn,120.0,raw,10143.0,active,True
L000243,C70110,500987.0,2026-03-30 02:00:00,earn,20.0,raw,10168.0,active,True
L000244,C70156,500742.0,2026-01-25 02:00:00,earn,50.0,raw,10233.0,active,True
L000245,C70153,500479.0,2026-02-08 02:00:00,earn,120.0,raw,10230.0,active,True
L000246,C70097,500196.0,2026-02-15 02:00:00,earn,50.0,raw,10152.0,active,True
L000247,C70008,501059.0,2026-01-23 02:00:00,earn,20.0,raw,10012.0,active,True
L000248,C70063,500700.0,2026-01-25 02:00:00,earn,50.0,raw,10098.0,active,True
L000249,C70163,500977.0,2026-04-10 02:00:00,earn,120.0,raw,10245.0,active,True
L000250,C70162,500544.0,2026-04-06 02:00:00,earn,120.0,raw,10243.0,active,True
L000251,C70062,500755.0,2026-03-18 02:00:00,earn,50.0,raw,10097.0,active,True
L000252,C70105,500893.0,2026-01-16 02:00:00,earn,120.0,raw,10161.0,active,True
L000253,C70150,500267.0,2026-01-11 02:00:00,earn,120.0,raw,10226.0,active,True
L000254,C70014,500016.0,2026-04-19 02:00:00,earn,120.0,raw,10020.0,active,True
L000255,C70068,501096.0,2026-03-08 02:00:00,earn,120.0,raw,10105.0,active,True
L000256,C70008,501138.0,2026-01-13 02:00:00,earn,120.0,raw,10012.0,active,True
L000257,C70009,500327.0,2026-03-29 02:00:00,earn,120.0,raw,10013.0,active,True
L000258,C70110,501152.0,2026-02-16 02:00:00,earn,120.0,raw,10168.0,active,True
L000259,C70078,500764.0,2026-04-07 02:00:00,earn,120.0,raw,10123.0,active,True
L000260,C70087,500959.0,2026-03-26 02:00:00,earn,50.0,raw,10137.0,active,True
L000261,C70084,500025.0,2026-03-10 02:00:00,earn,120.0,raw,10130.0,active,True
L000262,C70126,500553.0,2026-01-06 02:00:00,earn,120.0,raw,10192.0,active,True
L000263,C70052,500672.0,2026-03-06 02:00:00,earn,50.0,raw,10081.0,active,True
L000264,C70012,500062.0,2026-04-15 02:00:00,earn,20.0,raw,10017.0,active,True
L000265,C70031,500537.0,2026-03-20 02:00:00,earn,120.0,raw,10051.0,active,True
L000266,C70023,501079.0,2026-04-09 02:00:00,earn,120.0,raw,10035.0,active,True
L000267,C70163,500538.0,2026-02-26 02:00:00,earn,120.0,raw,10245.0,active,True
L000268,C70165,500414.0,2026-01-13 02:00:00,earn,50.0,raw,10247.0,active,True
L000269,C70118,500260.0,2026-04-02 02:00:00,earn,120.0,raw,10181.0,active,True
L000270,C70164,500219.0,2026-03-14 02:00:00,earn,8.0,raw,10246.0,active,True
L000271,C70063,500379.0,2026-03-08 02:00:00,earn,120.0,raw,10098.0,active,True
L000272,C70102,501108.0,2026-02-22 02:00:00,earn,120.0,raw,10157.0,active,True
L000273,C70042,500242.0,2026-02-20 02:00:00,earn,120.0,raw,10068.0,active,True
L000274,C70060,500325.0,2026-02-02 02:00:00,earn,120.0,raw,10092.0,active,True
L000275,C70001,501128.0,2026-02-16 02:00:00,earn,120.0,raw,10001.0,active,True
L000276,C70043,501067.0,2026-01-08 02:00:00,earn,50.0,raw,10069.0,active,True
L000277,C70114,501014.0,2026-04-24 02:00:00,earn,120.0,raw,10175.0,active,True
L000278,C70132,500505.0,2026-01-20 02:00:00,earn,120.0,raw,10198.0,active,True
L000279,C70055,501157.0,2026-04-30 02:00:00,earn,120.0,raw,10084.0,active,True
L000280,C70046,500605.0,2026-03-09 02:00:00,earn,120.0,raw,10073.0,active,True
L000281,C70034,500782.0,2026-03-20 02:00:00,earn,120.0,raw,10055.0,active,True
L000282,C70106,500838.0,2026-04-24 02:00:00,earn,120.0,raw,10162.0,active,True
L000283,C70080,500741.0,2026-04-27 02:00:00,earn,120.0,raw,10125.0,active,True
L000284,C70054,500045.0,2026-03-23 02:00:00,earn,120.0,raw,10083.0,active,True
L000285,C70152,500086.0,2026-04-04 02:00:00,earn,120.0,raw,10229.0,active,True
L000286,C70091,501016.0,2026-02-27 02:00:00,earn,120.0,raw,10142.0,active,True
L000287,C70128,500873.0,2026-04-04 02:00:00,earn,120.0,raw,10194.0,active,True
L000288,C70025,501188.0,2026-04-23 02:00:00,earn,120.0,raw,10041.0,active,True
L000289,C70152,500113.0,2026-02-05 02:00:00,earn,120.0,raw,10229.0,active,True
L000290,C70019,500326.0,2026-03-03 02:00:00,earn,120.0,raw,10029.0,active,True
L000291,C70057,500706.0,2026-02-23 02:00:00,earn,50.0,raw,10086.0,active,True
L000292,C70017,500359.0,2026-03-13 02:00:00,earn,120.0,raw,10025.0,active,True
L000293,C70162,500030.0,2026-03-28 02:00:00,earn,120.0,raw,10243.0,active,True
L000294,C70096,500968.0,2026-01-22 02:00:00,earn,50.0,raw,10151.0,active,True
L000295,C70040,500547.0,2026-03-22 02:00:00,earn,120.0,raw,10064.0,active,True
L000296,C70058,500988.0,2026-04-03 02:00:00,earn,120.0,raw,10088.0,active,True
L000297,C70057,500087.0,2026-02-09 02:00:00,earn,120.0,raw,10086.0,active,True
L000298,C70014,500424.0,2026-03-04 02:00:00,earn,120.0,raw,10020.0,active,True
L000299,C70064,500047.0,2026-01-19 02:00:00,earn,50.0,raw,10099.0,active,True
L000300,C70031,500899.0,2026-02-28 02:00:00,earn,120.0,raw,10051.0,active,True
L000301,C70025,500898.0,2026-03-05 02:00:00,earn,120.0,raw,10041.0,active,True
L000302,C70040,501062.0,2026-01-15 02:00:00,earn,120.0,raw,10064.0,active,True
L000303,C70006,500774.0,2026-03-08 02:00:00,earn,50.0,raw,10008.0,active,True
L000304,C70011,500920.0,2026-04-08 02:00:00,earn,120.0,raw,10016.0,active,True
L000305,C70119,500598.0,2026-01-13 02:00:00,earn,120.0,raw,10182.0,active,True
L000306,C70087,500518.0,2026-03-04 02:00:00,earn,1.0,raw,10137.0,active,True
L000307,C70098,500233.0,2026-02-06 02:00:00,earn,120.0,raw,10153.0,active,True
L000308,C70063,500971.0,2026-04-03 02:00:00,earn,120.0,raw,10098.0,active,True
